id,code,code_identification,name,nationality,designer_iata,iron_line,start_date
waybill_complemento_estacion_00,02,PM001,Rosarito,México,,,2021-06-01
waybill_complemento_estacion_01,02,PM002,La Misión,México,,,2021-06-01
waybill_complemento_estacion_02,02,PM003,El Sauzal,México,,,2021-06-01
waybill_complemento_estacion_03,02,PM004,Marina Coral,México,,,2021-06-01
waybill_complemento_estacion_04,02,PM005,Ensenada,México,,,2021-06-01
waybill_complemento_estacion_05,02,PM006,Punta China,México,,,2021-06-01
waybill_complemento_estacion_06,02,PM007,San Quintín,México,,,2021-06-01
waybill_complemento_estacion_07,02,PM008,Isla Cedros,México,,,2021-06-01
waybill_complemento_estacion_08,02,PM009,Venustiano Carranza,México,,,2021-06-01
waybill_complemento_estacion_09,02,PM010,Bahía de los Ángeles,México,,,2021-06-01
waybill_complemento_estacion_10,02,PM011,Puertecitos,México,,,2021-06-01
waybill_complemento_estacion_11,02,PM012,San Felipe,México,,,2021-06-01
waybill_complemento_estacion_12,02,PM013,Costa Azul,México,,,2021-06-01
waybill_complemento_estacion_13,02,PM014,Bahía Colonet,México,,,2021-06-01
waybill_complemento_estacion_14,02,PM015,La Paz,México,,,2021-06-01
waybill_complemento_estacion_15,02,PM016,Pichilingue,México,,,2021-06-01
waybill_complemento_estacion_16,02,PM017,Puerto de Loreto,México,,,2021-06-01
waybill_complemento_estacion_17,02,PM018,Puerto de Santa Rosalía,México,,,2021-06-01
waybill_complemento_estacion_18,02,PM019,Puerto Escondido,México,,,2021-06-01
waybill_complemento_estacion_19,02,PM020,San Carlos,México,,,2021-06-01
waybill_complemento_estacion_20,02,PM021,Cabo San Lucas,México,,,2021-06-01
waybill_complemento_estacion_21,02,PM022,Guerrero Negro,México,,,2021-06-01
waybill_complemento_estacion_22,02,PM023,Santa María,México,,,2021-06-01
waybill_complemento_estacion_23,02,PM024,Isla San Marcos,México,,,2021-06-01
waybill_complemento_estacion_24,02,PM025,Adolfo López Mateos,México,,,2021-06-01
waybill_complemento_estacion_25,02,PM026,San Juan de la Costa,México,,,2021-06-01
waybill_complemento_estacion_26,02,PM027,Punta prieta,México,,,2021-06-01
waybill_complemento_estacion_27,02,PM028,San José del Cabo,México,,,2021-06-01
waybill_complemento_estacion_28,02,PM029,Los Barriles,México,,,2021-06-01
waybill_complemento_estacion_29,02,PM030,Mulege,México,,,2021-06-01
waybill_complemento_estacion_30,02,PM031,Isla del Carmen,México,,,2021-06-01
waybill_complemento_estacion_31,02,PM032,Campeche,México,,,2021-06-01
waybill_complemento_estacion_32,02,PM033,Cayo Arcas,México,,,2021-06-01
waybill_complemento_estacion_33,02,PM034,Seybaplaya,México,,,2021-06-01
waybill_complemento_estacion_34,02,PM035,Isla Arena,México,,,2021-06-01
waybill_complemento_estacion_35,02,PM036,San Francisco,México,,,2021-06-01
waybill_complemento_estacion_36,02,PM037,Lerma,México,,,2021-06-01
waybill_complemento_estacion_37,02,PM038,Champotón,México,,,2021-06-01
waybill_complemento_estacion_38,02,PM039,Sabancuy,México,,,2021-06-01
waybill_complemento_estacion_39,02,PM040,Isla Aguada,México,,,2021-06-01
waybill_complemento_estacion_40,02,PM041,Emiliano Zapata,México,,,2021-06-01
waybill_complemento_estacion_41,02,PM042,Nuevo Campechito,México,,,2021-06-01
waybill_complemento_estacion_42,02,PM043,Takuntah,México,,,2021-06-01
waybill_complemento_estacion_43,02,PM044,Yúum K'ak Naab,México,,,2021-06-01
waybill_complemento_estacion_44,02,PM045,Puerto Chiapas,México,,,2021-06-01
waybill_complemento_estacion_45,02,PM046,Manzanillo,México,,,2021-06-01
waybill_complemento_estacion_46,02,PM047,San Pedrito,México,,,2021-06-01
waybill_complemento_estacion_47,02,PM048,Laguna de Cuyutlán,México,,,2021-06-01
